timestamp,price,price_change,label
2025-02-08 01:04:16.292,96670.89656751913,112.44025785243139,1
2025-02-08 02:04:15.147,96548.21819135682,-122.67837616230827,0
2025-02-08 03:03:44.400,96786.35922159553,238.14103023870848,1
2025-02-08 04:03:45.095,96713.24797153489,-73.11125006063958,0
2025-02-08 05:04:11.997,96320.34813679579,-392.8998347391025,0
2025-02-08 06:04:06.448,96154.76117032336,-165.5869664724305,0
2025-02-08 07:03:49.795,95952.52432602612,-202.23684429723653,0
2025-02-08 08:04:00.625,96223.7407871112,271.2164610850741,1
2025-02-08 09:03:47.457,95905.61306579997,-318.1277213112189,0
2025-02-08 10:02:34.123,96095.3786132481,189.76554744812893,1
2025-02-08 11:03:43.068,96039.32910256689,-56.04951068121591,0
2025-02-08 12:04:08.355,96003.7579365969,-35.571165969988215,0
